codigo,nome,arquivo,tem_foto,origem
400198,Sofa Rm 1.6 Mts Paris Liso Linho,(placeholder),nao,-
400204,Sofa Rm 2.00 Mts Belga /PARIS,(placeholder),nao,-
400201,Sofa Rm 2.30 Mts Belga (COSTURA)LINHO Bege,(placeholder),nao,-
400176,Sofa Rm 2.30 Mts Belga (COSTURA)SUEDE Bege,(placeholder),nao,-
400177,Sofa Rm 2.30 Mts Belga Costura Suede Joly Cinza Escuro,400177.jpg,sim,s9.chianca.net
400203,Sofa Rm 2.30 Mts Paris (LISO) Suede Cinza,(placeholder),nao,-
400202,Sofa Rm 2.30 Mts Paris (LISO)SUEDE Bege,(placeholder),nao,-
400172,Sofa Rm 2.30 Mts Paris Liso Bege Linho,400172.jpg,sim,s9.chianca.net
400178,Sofa Rm 2.30 Mts Paris Liso Linho Cinza Escur o,400178.jpg,sim,s9.chianca.net
400175,Sofa Rm R .R. 2.30 Mts Belga Costura Linho Cinza Sofa Rm Retratil Reclinavel 2.30 Mts Pillow C,(placeholder),nao,-
7002,"Sofa Tekshine 3 Lugares Chinchila 1,70",(placeholder),nao,-
1002678,"Sofa Tekshine 3 Lugares Vinho 1,70",(placeholder),nao,-
1003600,Sofa Tekshine Capadocia 2.10 Azul,(placeholder),nao,-
1003599,Sofa Tekshine Capadocia 2.10 Branco Gelo,(placeholder),nao,-
1004394,Sofa Tekshine Capadocia 2.10 Chinchila 2,(placeholder),nao,-
1003868,Sofa Tekshine Capadocia 2.10 Cinza Paloma 12,(placeholder),nao,-
1004210,Sofa Tekshine Capadocia 2.10 Ermine,(placeholder),nao,-
1003601,Sofa Tekshine Capadocia 2.10 Marrom Escuro 13,(placeholder),nao,-
1004080,Sofa Tekshine Capadocia 2.10 Pavemont 08,(placeholder),nao,-
1003869,Sofa Tekshine Capadocia 2.10 Safari 1,(placeholder),nao,-
1003229,Sofa Tekshine Capadocia Bege,(placeholder),nao,-
1003746,Sofa Tekshine Capadocia Chinchila 2,1003746.jpg,sim,s9.chianca.net
1003831,Sofa Tekshine Capadocia Cinza Paloma 12,(placeholder),nao,-
1003255,Sofa Tekshine Capadocia Ermine N 10,1003255.jpg,sim,s9.chianca.net
1003303,Sofa Tekshine Capadocia Linho Bege 12,(placeholder),nao,-
1003302,Sofa Tekshine Capadocia Linho Cinza 11,1003302.jpg,sim,s9.chianca.net
1003602,Sofa Tekshine Capadocia Linho Cinza Claro 8,1003602.jpg,sim,s9.chianca.net
1003228,Sofa Tekshine Capadocia Linho Marrom 14,1003228.jpg,sim,s9.chianca.net
1003304,Sofa Tekshine Capadocia Linho Marrom Escuro 1 3,(placeholder),nao,-
1003750,Sofa Tekshine Capadocia Marrom 9,1003750.jpg,sim,s9.chianca.net
1003519,Sofa Tekshine Capadocia Pavemont 08 /1.80,1003519.jpg,sim,s9.chianca.net
1003456,Sofa Tekshine Capadocia Pavemont 08 Cinza,1003456.jpg,sim,s9.chianca.net
1003497,Sofa Tekshine Capadocia Preto 11,(placeholder),nao,-
1003751,Sofa Tekshine Capadocia Safari 1,1003751.jpg,sim,s9.chianca.net
80016,Sofa Tekshine Capadocia Sue Paloma 12,(placeholder),nao,-
1003711,Sofa Tekshine RET. Veludinho com Almofadas Chinchila 2,1003711.jpg,sim,s9.chianca.net
1003968,Sofa Tekshine RET. Veludinho com Almofadas Cinza Paloma Cor,(placeholder),nao,-
1003272,Sofa Tekshine RET. Veludinho com Almofadas Ermine 10 Xx,1003272.jpg,sim,s9.chianca.net
1003273,Sofa Tekshine RET. Veludinho com Almofadas Marrom 9,1003273.jpg,sim,s9.chianca.net
1003271,Sofa Tekshine RET. Veludinho com Almofadas Pavemont 8,1003271.jpg,sim,s9.chianca.net
1003274,Sofa Tekshine RET. Veludinho com Almofadas Safari 1,1003274.jpg,sim,s9.chianca.net
600198,Sofa Tekshine RET. Veludinho com Almofadas Tobacco 5,(placeholder),nao,-
1003930,Sofa Tekshine Retratil e Reclinavel 2.00 Chin Cila 2,(placeholder),nao,-
1003870,Sofa Tekshine Retratil e Reclinavel 2.00 Cinza Paloma 12,(placeholder),nao,-
